ram_gb,vram_gb,cpu_cores,cpu_freq_mhz,has_cuda,model_size_gb,model_min_ram_gb,model_min_vram_gb,requires_gpu,tokens_per_sec,quality_tier,tier_name
8,0,8,3037,0,7.9,10,0,0,0.0,0,Won't Run
8,0,8,3037,0,4.1,8,0,0,1.54,1,Slow
8,0,8,3037,0,8.0,12,6,0,0.0,0,Won't Run
8,0,8,3037,0,4.7,8,0,0,1.49,1,Slow
8,0,8,3037,0,38.0,48,24,1,0.0,0,Won't Run
8,0,8,3037,0,9.1,12,8,0,0.0,0,Won't Run
8,0,8,3037,0,7.4,10,0,0,0.0,0,Won't Run
8,0,8,3037,0,4.7,8,0,0,1.41,1,Slow
8,0,8,3037,0,40.0,48,24,1,0.0,0,Won't Run
8,0,8,3037,0,4.7,8,0,0,1.13,1,Slow
8,0,8,3037,0,5.0,8,0,0,1.52,1,Slow
8,0,8,3037,0,3.8,8,0,0,1.53,1,Slow
8,0,8,3037,0,19.0,24,12,0,0.0,0,Won't Run
8,0,8,3037,0,4.0,8,0,0,1.21,1,Slow
8,0,8,3037,0,8.9,12,8,0,0.0,0,Won't Run
8,0,8,3037,0,0.3,2,0,0,12.35,3,Good
8,0,8,3037,0,42.0,48,24,1,0.0,0,Won't Run
8,0,8,3037,0,26.0,32,16,1,0.0,0,Won't Run
8,0,8,3037,0,2.0,6,0,0,6.38,2,Okay
8,0,6,2585,0,9.0,12,6,0,0.0,0,Won't Run
8,0,6,2585,0,4.1,8,0,0,1.12,1,Slow
8,0,6,2585,0,47.0,56,24,1,0.0,0,Won't Run
8,0,6,2585,0,0.9,2,0,0,5.6,2,Okay
8,0,6,2585,0,4.0,8,0,0,0.96,1,Slow
8,0,6,2585,0,19.0,24,12,0,0.0,0,Won't Run
8,0,6,2585,0,20.0,24,12,0,0.0,0,Won't Run
8,0,6,2585,0,19.0,24,12,0,0.0,0,Won't Run
8,0,6,2585,0,38.0,48,24,1,0.0,0,Won't Run
8,0,6,2585,0,3.8,8,0,0,1.0,1,Slow
8,0,6,2585,0,26.0,32,16,1,0.0,0,Won't Run
8,0,6,2585,0,9.1,12,8,0,0.0,0,Won't Run
8,0,6,2585,0,0.7,2,0,0,8.61,3,Good
8,0,6,2585,0,1.3,4,0,0,4.53,2,Okay
8,0,6,2585,0,1.7,4,0,0,3.92,2,Okay
8,0,6,2585,0,4.7,8,0,0,1.03,1,Slow
8,0,6,2585,0,4.7,8,0,0,0.92,1,Slow
2,0,2,2158,0,3.8,8,0,0,0.0,0,Won't Run
2,0,2,2158,0,0.8,4,0,0,0.0,0,Won't Run
2,0,2,2158,0,2.5,6,0,0,0.0,0,Won't Run
2,0,2,2158,0,80.0,96,48,1,0.0,0,Won't Run
2,0,2,2158,0,0.9,2,0,0,0.69,1,Slow
2,0,2,2158,0,4.7,8,0,0,0.0,0,Won't Run
2,0,2,2158,0,3.8,8,0,0,0.0,0,Won't Run
2,0,2,2158,0,8.0,12,6,0,0.0,0,Won't Run
2,0,2,2158,0,20.0,24,12,0,0.0,0,Won't Run
2,0,2,2158,0,4.7,8,0,0,0.0,0,Won't Run
2,0,2,2158,0,19.0,24,12,0,0.0,0,Won't Run
2,0,2,2158,0,7.4,10,0,0,0.0,0,Won't Run
2,0,2,2158,0,4.0,8,0,0,0.0,0,Won't Run
2,0,2,2158,0,19.0,24,12,0,0.0,0,Won't Run
2,0,2,2158,0,1.3,4,0,0,0.0,0,Won't Run
2,0,2,2158,0,1.7,4,0,0,0.0,0,Won't Run
